5635921 Feet, 0 Inches
15478416 Feet, 7 Inches
18166580 Feet, 8 Inches
19652124 Feet, 6 Inches
21354707 Feet, 5 Inches
23553079 Feet, 7 Inches
30220888 Feet, 7 Inches
36364288 Feet, 0 Inches
40553299 Feet, 8 Inches
48868307 Feet, 6 Inches
56578902 Feet, 8 Inches
66267338 Feet, 8 Inches
74623357 Feet, 11 Inches
76040540 Feet, 10 Inches
85782760 Feet, 9 Inches
91525970 Feet, 9 Inches
95624762 Feet, 4 Inches
96387911 Feet, 2 Inches
97103192 Feet, 10 Inches
102149791 Feet, 10 Inches
110764946 Feet, 4 Inches
116592984 Feet, 9 Inches
125520875 Feet, 11 Inches
133281844 Feet, 2 Inches
138137932 Feet, 10 Inches
144060123 Feet, 1 Inches
145335713 Feet, 8 Inches
148561994 Feet, 5 Inches
155225189 Feet, 4 Inches
161579366 Feet, 2 Inches
168511373 Feet, 5 Inches
176010344 Feet, 7 Inches
176211759 Feet, 10 Inches
180310867 Feet, 3 Inches
182397120 Feet, 6 Inches
187619868 Feet, 7 Inches
196605902 Feet, 7 Inches
206553877 Feet, 1 Inches
215940624 Feet, 11 Inches
219619204 Feet, 2 Inches
225711862 Feet, 0 Inches
229690343 Feet, 3 Inches
237324495 Feet, 0 Inches
246071660 Feet, 5 Inches
251216770 Feet, 4 Inches
260016580 Feet, 10 Inches
264879786 Feet, 11 Inches
274431709 Feet, 3 Inches
282818140 Feet, 7 Inches
287615114 Feet, 3 Inches
290762907 Feet, 9 Inches
292756731 Feet, 0 Inches
297804155 Feet, 11 Inches
305959890 Feet, 1 Inches
315225844 Feet, 11 Inches
321112334 Feet, 6 Inches
325300387 Feet, 2 Inches
327364303 Feet, 7 Inches
332897516 Feet, 7 Inches
334339189 Feet, 8 Inches
340400868 Feet, 1 Inches
343025039 Feet, 6 Inches
348986512 Feet, 7 Inches
349860729 Feet, 8 Inches
353668586 Feet, 9 Inches
356344719 Feet, 10 Inches
357624009 Feet, 3 Inches
364832831 Feet, 6 Inches
368645812 Feet, 6 Inches
369153577 Feet, 0 Inches
370121381 Feet, 7 Inches
376801743 Feet, 5 Inches
378751013 Feet, 0 Inches
383284288 Feet, 4 Inches
388308650 Feet, 6 Inches
390460737 Feet, 4 Inches
393998091 Feet, 5 Inches
401433307 Feet, 1 Inches
409178512 Feet, 5 Inches
418203278 Feet, 5 Inches
427559096 Feet, 3 Inches
435365615 Feet, 2 Inches
438624912 Feet, 1 Inches
442238458 Feet, 8 Inches
444559735 Feet, 3 Inches
446042530 Feet, 7 Inches
450486052 Feet, 4 Inches
452021033 Feet, 8 Inches
456979830 Feet, 3 Inches
465540318 Feet, 4 Inches
471092746 Feet, 8 Inches
476172881 Feet, 3 Inches
479363398 Feet, 10 Inches
480352641 Feet, 8 Inches
489789844 Feet, 1 Inches
498585392 Feet, 3 Inches
506856213 Feet, 1 Inches
507470993 Feet, 11 Inches
508296790 Feet, 8 Inches
511608186 Feet, 3 Inches
