466302 Feet, 2 Inches
6604533 Feet, 2 Inches
13337124 Feet, 6 Inches
15330783 Feet, 6 Inches
23095757 Feet, 9 Inches
26540321 Feet, 10 Inches
35116224 Feet, 6 Inches
42797679 Feet, 1 Inches
45935130 Feet, 10 Inches
47714181 Feet, 1 Inches
55226001 Feet, 10 Inches
55742268 Feet, 7 Inches
62730290 Feet, 7 Inches
70357187 Feet, 11 Inches
74308223 Feet, 3 Inches
79603382 Feet, 11 Inches
84788164 Feet, 3 Inches
88501944 Feet, 11 Inches
96234420 Feet, 2 Inches
97542422 Feet, 2 Inches
106009107 Feet, 11 Inches
114793081 Feet, 0 Inches
119231616 Feet, 7 Inches
123304418 Feet, 8 Inches
131183090 Feet, 2 Inches
135150579 Feet, 7 Inches
135478049 Feet, 8 Inches
141995857 Feet, 1 Inches
147433091 Feet, 10 Inches
151395532 Feet, 3 Inches
155972599 Feet, 6 Inches
161446654 Feet, 6 Inches
163528618 Feet, 4 Inches
163899495 Feet, 5 Inches
169835969 Feet, 10 Inches
174024938 Feet, 0 Inches
179273054 Feet, 6 Inches
185903049 Feet, 10 Inches
190323328 Feet, 3 Inches
193720894 Feet, 4 Inches
197996935 Feet, 1 Inches
202269019 Feet, 4 Inches
212217897 Feet, 8 Inches
215367935 Feet, 4 Inches
219032132 Feet, 4 Inches
224170980 Feet, 3 Inches
228725089 Feet, 4 Inches
235714330 Feet, 10 Inches
237456334 Feet, 10 Inches
244379268 Feet, 9 Inches
252612673 Feet, 8 Inches
258421473 Feet, 3 Inches
264186872 Feet, 3 Inches
274153342 Feet, 3 Inches
274985356 Feet, 0 Inches
275784048 Feet, 0 Inches
279642279 Feet, 10 Inches
285039177 Feet, 4 Inches
289354916 Feet, 4 Inches
299350816 Feet, 10 Inches
307472645 Feet, 11 Inches
308270928 Feet, 0 Inches
311990014 Feet, 1 Inches
318954926 Feet, 11 Inches
320416897 Feet, 5 Inches
323961242 Feet, 5 Inches
330822772 Feet, 10 Inches
334548508 Feet, 2 Inches
341039646 Feet, 8 Inches
344153037 Feet, 8 Inches
353402404 Feet, 10 Inches
356216856 Feet, 2 Inches
360543047 Feet, 5 Inches
361136895 Feet, 7 Inches
365057265 Feet, 11 Inches
367790131 Feet, 5 Inches
374239205 Feet, 4 Inches
375540203 Feet, 0 Inches
378652789 Feet, 7 Inches
386392627 Feet, 9 Inches
393667234 Feet, 1 Inches
402012415 Feet, 6 Inches
410747331 Feet, 11 Inches
414736974 Feet, 5 Inches
418424125 Feet, 8 Inches
427779865 Feet, 2 Inches
430987869 Feet, 0 Inches
434294648 Feet, 6 Inches
441912851 Feet, 6 Inches
445685601 Feet, 8 Inches
448834598 Feet, 9 Inches
453969887 Feet, 4 Inches
456805027 Feet, 3 Inches
461467003 Feet, 0 Inches
465522317 Feet, 4 Inches
475360175 Feet, 5 Inches
480043311 Feet, 4 Inches
489803251 Feet, 11 Inches
494709433 Feet, 2 Inches
498281483 Feet, 9 Inches
503299616 Feet, 5 Inches
509945945 Feet, 5 Inches
516290151 Feet, 5 Inches
517197516 Feet, 4 Inches
523682357 Feet, 8 Inches
528537300 Feet, 3 Inches
534505653 Feet, 4 Inches
543698186 Feet, 2 Inches
544420461 Feet, 3 Inches
549148706 Feet, 9 Inches
556194045 Feet, 1 Inches
557886752 Feet, 5 Inches
562765562 Feet, 3 Inches
571229251 Feet, 1 Inches
579507702 Feet, 3 Inches
583962090 Feet, 0 Inches
587520334 Feet, 9 Inches
595821295 Feet, 6 Inches
600057465 Feet, 2 Inches
607874028 Feet, 10 Inches
615697289 Feet, 8 Inches
622507602 Feet, 3 Inches
630861741 Feet, 3 Inches
631512993 Feet, 11 Inches
631521909 Feet, 0 Inches
634068646 Feet, 6 Inches
637203489 Feet, 8 Inches
646619796 Feet, 1 Inches
652824352 Feet, 7 Inches
656294777 Feet, 10 Inches
659869605 Feet, 1 Inches
666633083 Feet, 9 Inches
676244613 Feet, 11 Inches
679697440 Feet, 6 Inches
680150934 Feet, 4 Inches
681588440 Feet, 5 Inches
686120071 Feet, 2 Inches
693956426 Feet, 10 Inches
699215176 Feet, 0 Inches
708887112 Feet, 8 Inches
718808143 Feet, 5 Inches
721462783 Feet, 9 Inches
723504280 Feet, 11 Inches
727491093 Feet, 0 Inches
729171146 Feet, 9 Inches
729455573 Feet, 3 Inches
732144027 Feet, 7 Inches
732186381 Feet, 5 Inches
740054426 Feet, 0 Inches
740733254 Feet, 2 Inches
749516291 Feet, 3 Inches
751430955 Feet, 5 Inches
754362848 Feet, 8 Inches
757821611 Feet, 2 Inches
764217026 Feet, 7 Inches
768020942 Feet, 1 Inches
774184593 Feet, 5 Inches
777586530 Feet, 1 Inches
781802763 Feet, 3 Inches
784461181 Feet, 11 Inches
787775275 Feet, 6 Inches
791543506 Feet, 6 Inches
791862466 Feet, 8 Inches
792118920 Feet, 10 Inches
794431690 Feet, 0 Inches
800668792 Feet, 2 Inches
809859355 Feet, 6 Inches
815898300 Feet, 6 Inches
819216251 Feet, 5 Inches
825692770 Feet, 8 Inches
826625470 Feet, 10 Inches
835861499 Feet, 0 Inches
839202519 Feet, 3 Inches
842663808 Feet, 8 Inches
849045873 Feet, 11 Inches
856832579 Feet, 1 Inches
866192402 Feet, 2 Inches
873394322 Feet, 5 Inches
880315055 Feet, 5 Inches
886553114 Feet, 3 Inches
886953303 Feet, 8 Inches
891701757 Feet, 4 Inches
896574574 Feet, 10 Inches
899415477 Feet, 10 Inches
903182097 Feet, 4 Inches
912184180 Feet, 5 Inches
919040682 Feet, 8 Inches
921713306 Feet, 4 Inches
924539651 Feet, 9 Inches
931936298 Feet, 5 Inches
941402154 Feet, 6 Inches
950682070 Feet, 3 Inches
956782953 Feet, 1 Inches
965139510 Feet, 2 Inches
970806123 Feet, 3 Inches
976216337 Feet, 2 Inches
985221457 Feet, 5 Inches
993608199 Feet, 6 Inches
996547736 Feet, 7 Inches
996728684 Feet, 6 Inches
998925218 Feet, 10 Inches
1006896084 Feet, 5 Inches
1012307888 Feet, 7 Inches
1020260744 Feet, 11 Inches
1027035757 Feet, 0 Inches
1032691575 Feet, 8 Inches
1041323780 Feet, 10 Inches
1044021992 Feet, 11 Inches
1053002157 Feet, 3 Inches
1060977663 Feet, 3 Inches
1061543362 Feet, 10 Inches
1066139064 Feet, 11 Inches
1075966129 Feet, 2 Inches
1079135815 Feet, 8 Inches
1081137047 Feet, 1 Inches
1090631587 Feet, 7 Inches
1093700551 Feet, 5 Inches
1101512740 Feet, 7 Inches
1103780791 Feet, 7 Inches
1111836139 Feet, 9 Inches
1119062124 Feet, 0 Inches
1126300679 Feet, 7 Inches
1136269789 Feet, 4 Inches
1136891893 Feet, 0 Inches
1141758683 Feet, 5 Inches
1141868147 Feet, 8 Inches
1146593912 Feet, 9 Inches
1149779176 Feet, 8 Inches
1150629746 Feet, 1 Inches
1152808771 Feet, 5 Inches
1162475089 Feet, 0 Inches
1162793278 Feet, 6 Inches
1163344421 Feet, 7 Inches
1172466033 Feet, 4 Inches
1180134589 Feet, 1 Inches
1184370019 Feet, 10 Inches
1185910725 Feet, 9 Inches
1188789479 Feet, 2 Inches
1195738651 Feet, 7 Inches
1202740767 Feet, 8 Inches
1208067886 Feet, 6 Inches
1215766177 Feet, 1 Inches
1222529461 Feet, 1 Inches
1228846018 Feet, 3 Inches
1238288128 Feet, 5 Inches
1245058052 Feet, 10 Inches
1251531715 Feet, 6 Inches
1258834337 Feet, 7 Inches
1259867014 Feet, 0 Inches
1263293745 Feet, 0 Inches
1269057698 Feet, 1 Inches
1277421861 Feet, 2 Inches
1284762253 Feet, 9 Inches
1290812686 Feet, 11 Inches
1299100364 Feet, 1 Inches
1302449355 Feet, 0 Inches
1305216765 Feet, 0 Inches
1308468788 Feet, 2 Inches
1309088261 Feet, 8 Inches
1317520263 Feet, 6 Inches
1327020241 Feet, 1 Inches
1333456726 Feet, 6 Inches
1340804713 Feet, 0 Inches
1348998527 Feet, 8 Inches
1357758439 Feet, 9 Inches
1359173800 Feet, 8 Inches
1363791398 Feet, 6 Inches
1368916612 Feet, 9 Inches
1373953851 Feet, 11 Inches
1382428945 Feet, 3 Inches
1390370105 Feet, 1 Inches
1399067151 Feet, 10 Inches
1405457007 Feet, 3 Inches
1408381843 Feet, 9 Inches
1416012613 Feet, 10 Inches
1416638606 Feet, 6 Inches
1421585070 Feet, 4 Inches
1428674680 Feet, 8 Inches
1429908154 Feet, 6 Inches
1437456569 Feet, 5 Inches
1446262219 Feet, 2 Inches
1452292769 Feet, 11 Inches
1459304482 Feet, 3 Inches
1463970794 Feet, 5 Inches
1473280128 Feet, 2 Inches
1479646923 Feet, 8 Inches
1481377414 Feet, 1 Inches
1482497779 Feet, 7 Inches
1482783648 Feet, 1 Inches
1488890514 Feet, 2 Inches
1498267817 Feet, 4 Inches
1506965300 Feet, 5 Inches
1510803867 Feet, 4 Inches
1519981410 Feet, 10 Inches
1520007261 Feet, 0 Inches
1521115874 Feet, 7 Inches
1521844182 Feet, 10 Inches
1529792036 Feet, 3 Inches
1538404250 Feet, 9 Inches
1547261705 Feet, 0 Inches
1548842790 Feet, 8 Inches
1552900747 Feet, 10 Inches
1562881917 Feet, 4 Inches
1568754422 Feet, 2 Inches
1570442634 Feet, 2 Inches
1572351727 Feet, 3 Inches
1573733532 Feet, 6 Inches
1582498274 Feet, 4 Inches
1585281515 Feet, 10 Inches
1589436419 Feet, 0 Inches
1590436883 Feet, 1 Inches
1595082105 Feet, 9 Inches
1601353825 Feet, 0 Inches
1606300396 Feet, 5 Inches
1612693819 Feet, 11 Inches
1620916052 Feet, 0 Inches
1621856647 Feet, 6 Inches
1627624531 Feet, 10 Inches
1628229285 Feet, 2 Inches
1631288295 Feet, 2 Inches
1635453893 Feet, 2 Inches
1637695005 Feet, 8 Inches
1637915647 Feet, 8 Inches
1642478430 Feet, 6 Inches
1651392059 Feet, 3 Inches
1655813318 Feet, 7 Inches
1658257510 Feet, 3 Inches
1668254910 Feet, 7 Inches
1674164750 Feet, 6 Inches
1681156680 Feet, 10 Inches
1683704048 Feet, 10 Inches
1685477604 Feet, 11 Inches
1691216371 Feet, 2 Inches
